,SMILES,name
221,CO[C@H]1CCC[C@H]1S(=O)(=O)N1C[C@@H](C)[C@H](C(=O)O)C1,1875362518
222,COCCN(CC1CCN(C)CC1)C(=O)/C=C/CN(C)C,1875377134
223,COCCOc1ccc(CNc2cnn(C)c(=O)c2)cn1,1875379099
224,C[C@@H]1CCSCCN1C(=O)C(=O)N1C[C@@H]2CC[C@H]1[C@H]2N,1875319162
225,Cc1ccc(CC(=O)N2CC[C@@H](CS(N)(=O)=O)C2)cn1,885302779
226,C[C@H]1NC(=O)CC[C@@H]1NC(=O)c1cnc(C2CC2)[nH]1,888093102
227,O=C(Cc1ccc2c[nH]nc2c1)N1CC(N2CCCC2=O)C1,888752971
228,CC1(C)CC2(CC(C)(C)N1)OC(=O)N(CCO)[C@]2(C)O,36891
229,O=Cc1c(N2CCOCC2)nc2ccccn2c1=O,83855
230,CS(=O)(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,115652
231,COC(=O)CCN1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2,519685
232,O=c1[nH]c2ccc(S(=O)(=O)NCc3ccco3)cc2[nH]1,4347006
233,COc1cccc(CNC2CC2)c1OCC(N)=O,6747448
234,CCOC(=O)[C@H]1CN(C(=O)OC(C)(C)C)CCN1,28527491
235,O=C([C@@H]1CCCNC1)N1CCO[C@@H]([C@@H]2CCCO2)C1,122017918
236,CC1(C)CNC(=O)c2nc([C@@H]3CCS(=O)(=O)C3)[nH]c2C1,65460635
237,C[C@H](N)[C@H]1CCCCN1S(=O)(=O)c1cnn(C)c1,63194000
238,O=C1OCC[C@@H]1N1CCN(C(=O)c2cccs2)CC1,24672428
239,CCc1ccc(C(=O)N[C@@H](C)C(N)=O)cc1S(C)(=O)=O,121187628
240,CC(C)(C)OC(=O)NC1=CC=CCN(CC(=O)O)C1=O,64219588
241,Cn1cc(NC(=O)c2cccc(-n3cnnn3)c2)cn1,25305728
242,Cc1c(S(=O)(=O)N(C)Cc2ccnn2C)cnn1C,20602507
243,O=C(O)C1(CNS(=O)(=O)c2c[nH]cn2)CCCC1,137829634
244,NC(=O)CN1CCC[C@@H](C(=O)NCC2=CCCCC2)C1,67885254
245,CN1CCC(CCO)(NCc2cn(C(C)(C)C)nn2)CC1,331163678
246,CCc1nc(CN2C(=O)N[C@]3(CCOC3)C2=O)cs1,126350316
247,Cc1occc(=O)c1OCc1noc(C(N)=O)n1,32090818
248,CO[C@@]1(CN2CCN(C)[C@@H](c3nc(C)no3)C2)CCOC1,606444047
249,C[C@H]1OCC[C@H]1S(=O)(=O)N1CC(C)(C)[C@@H]2COC[C@@H]21,333037876
250,O=C(NS(=O)(=O)c1cnccn1)[C@@H]1[C@H]2[C@H]3CC[C@@H](C3)[C@H]21,252516326
251,C[C@H]1CCCN(C(=O)CCCn2cncn2)[C@@H]1CN,237687356
252,COC(=O)c1cnc(NC[C@H](C)c2nncn2C)nc1,253415509
253,Cc1ccc2[nH]nc(C(=O)N3CCN[C@H](C(=O)O)C3)c2c1,71756800
254,O=C1NC(=O)[C@@]2(CCN(Cc3cc(F)ccc3F)C2)N1,371047319
255,CCC[C@H]1CN(C(=O)c2cnc(NC)nc2)C[C@@H]1N,219596092
256,O=C(NC[C@@H](O)c1ccc(Cl)cc1)[C@@H]1CNCCO1,262641908
257,CCn1ccc(C(=O)N[C@@]2(CC(=O)O)CCCOC2)n1,1548453993
258,C[C@@H](C(=O)N1CCC(c2nc[nH]n2)CC1)n1cccn1,426431348
259,Cc1ccc(F)c(S(=O)(=O)N[C@H](C(N)=O)C(C)C)c1,69705215
260,Cn1cc(NC(=O)N2CCN(CC3CC3)CC2)ccc1=O,194822973
261,O=C(O)CCCC[C@@H]1SC[C@@]2(O)NC(=O)N[C@H]12,43198459
262,COCCn1cncc1CNC(=O)N1CCSCC1,426526307
263,Cc1cc(CNC(=O)c2ccnc(-n3cnnc3)c2)n(C)n1,97716994
264,NC[C@]1(O)CCN(C(=O)OCc2ccccc2)C1,95743344
265,CCN(Cc1cccc(C(=O)O)n1)[C@H]1COC[C@@H]1O,97797345
266,COCC[C@]1(CO)CCCN(Cc2nc(COC)no2)C1,92028116
267,CCCN1CCCN(C(=O)Cn2ccnc2C)CC1=O,297170940
268,CN(CCO)C[C@@H]1CN(Cc2ccc(F)cc2)C[C@@H]1CO,91876858
269,CCn1ccc(CN2CCCN(S(C)(=O)=O)CC2)n1,244701135
270,OC[C@@]1(O)CCCN(CCn2cc(Cl)cn2)CC1,243915005
271,CC(C)OCCCN1C[C@@]23C=C[C@@H](O2)[C@@H](C(=O)O)[C@H]3C1=O,245225663
272,Cc1nc2n(n1)C[C@H](N[C@H]1C[C@H](C)OC1=O)CC2,70021065
273,O=C1CCCN1CCCC(=O)N1C[C@@H]2CC[C@H]1CNC2,534578170
274,CCOCCC(=O)NCc1nc(C(F)(F)F)n[nH]1,360995911
275,Cc1cc(C)n(C[C@@H](C)NC(=O)Cc2c(C)[nH][nH]c2=O)n1,299763506
276,O=C(NCCOCCn1cccn1)c1cscn1,575620168
277,c1cnc(-n2cncn2)c(CNC2CCOCC2)c1,584893059
278,CCOC(=O)N1CC[C@H](NCc2csc(N)n2)C1,584894947
279,Cc1cc(C)n(C[C@@H](C)NCCc2ncnn2C)n1,670451862
